0,1,2,3,4,5,6,7
3602.0,101.0,433.0,600.0,906.0,1216.0,1530.0,1853.0
3603.0,101.0,433.0,600.0,907.0,1217.0,1534.0,1874.0
3607.0,102.0,433.0,600.0,906.0,1216.0,1527.0,1842.0
3608.0,101.0,433.0,600.0,907.0,1217.0,1533.0,1873.0
3609.0,101.0,433.0,600.0,907.0,1216.0,1530.0,1856.0
3611.0,103.0,433.0,599.0,906.0,1215.0,1526.0,1838.0
3612.0,102.0,433.0,600.0,906.0,1216.0,1528.0,1844.0
3617.0,100.0,433.0,601.0,907.0,1218.0,1537.0,1895.0
3620.0,101.0,433.0,600.0,907.0,1217.0,1533.0,1871.0
3625.0,102.0,433.0,600.0,906.0,1216.0,1529.0,1848.0
3627.0,100.0,433.0,601.0,907.0,1218.0,1537.0,1898.0
3628.0,101.0,433.0,600.0,907.0,1217.0,1534.0,1875.0
3631.0,103.0,433.0,599.0,906.0,1215.0,1526.0,1838.0
3632.0,101.0,433.0,600.0,906.0,1216.0,1529.0,1847.0
3633.0,101.0,433.0,600.0,907.0,1217.0,1531.0,1860.0
3637.0,102.0,433.0,600.0,906.0,1216.0,1527.0,1841.0
3638.0,101.0,433.0,600.0,907.0,1217.0,1531.0,1859.0
3639.0,101.0,433.0,600.0,907.0,1216.0,1529.0,1849.0
3641.0,103.0,433.0,599.0,906.0,1215.0,1526.0,1838.0
3642.0,102.0,433.0,600.0,906.0,1216.0,1527.0,1842.0
3647.0,100.0,433.0,601.0,907.0,1217.0,1533.0,1871.0
3648.0,100.0,433.0,601.0,907.0,1218.0,1537.0,1895.0
3650.0,101.0,433.0,600.0,907.0,1217.0,1531.0,1858.0
3654.0,100.0,433.0,601.0,907.0,1218.0,1536.0,1887.0
3655.0,102.0,433.0,600.0,906.0,1216.0,1528.0,1844.0
3657.0,100.0,433.0,601.0,907.0,1217.0,1533.0,1873.0
3658.0,101.0,433.0,600.0,907.0,1217.0,1531.0,1861.0
3661.0,103.0,433.0,599.0,906.0,1215.0,1526.0,1838.0
3662.0,101.0,433.0,600.0,906.0,1216.0,1529.0,1849.0
3663.0,101.0,433.0,600.0,907.0,1217.0,1532.0,1865.0
3667.0,102.0,433.0,600.0,906.0,1216.0,1527.0,1841.0
3668.0,101.0,433.0,600.0,907.0,1217.0,1532.0,1865.0
3669.0,101.0,433.0,600.0,907.0,1216.0,1529.0,1852.0
3671.0,103.0,433.0,599.0,906.0,1215.0,1526.0,1838.0
3672.0,102.0,433.0,600.0,906.0,1216.0,1527.0,1843.0
3677.0,100.0,433.0,601.0,907.0,1217.0,1535.0,1880.0
3678.0,100.0,433.0,601.0,907.0,1218.0,1539.0,1911.0
3680.0,101.0,433.0,600.0,907.0,1217.0,1532.0,1863.0
3684.0,100.0,433.0,601.0,907.0,1218.0,1538.0,1901.0
3685.0,102.0,433.0,600.0,906.0,1216.0,1528.0,1846.0
3687.0,100.0,433.0,601.0,907.0,1217.0,1535.0,1882.0
3688.0,101.0,433.0,600.0,907.0,1217.0,1532.0,1866.0
3691.0,103.0,433.0,599.0,906.0,1215.0,1526.0,1838.0
3692.0,101.0,433.0,600.0,906.0,1216.0,1529.0,1851.0
3693.0,101.0,433.0,600.0,907.0,1217.0,1532.0,1868.0
3697.0,102.0,433.0,600.0,906.0,1216.0,1527.0,1842.0
