0,1,2,3,4,5
290.0,185.0,436.0,886.0,2194.0,3863.0
291.0,184.0,436.0,888.0,1627.0,4330.0
292.0,185.0,436.0,887.0,1800.0,4160.0
293.0,185.0,436.0,887.0,1881.0,4090.0
294.0,185.0,436.0,887.0,1983.0,4009.0
295.0,186.0,436.0,886.0,2580.0,3623.0
296.0,184.0,436.0,888.0,1698.0,4256.0
297.0,185.0,436.0,887.0,2055.0,3957.0
298.0,185.0,436.0,886.0,2164.0,3882.0
300.0,185.0,436.0,888.0,1641.0,4089.0
302.0,186.0,436.0,887.0,2056.0,3767.0
303.0,185.0,436.0,887.0,1867.0,3897.0
307.0,186.0,436.0,886.0,2393.0,3563.0
308.0,185.0,436.0,887.0,1870.0,3895.0
309.0,186.0,436.0,887.0,2017.0,3792.0
312.0,186.0,436.0,886.0,2280.0,3630.0
316.0,185.0,436.0,889.0,1579.0,4152.0
317.0,185.0,436.0,887.0,1785.0,3961.0
318.0,185.0,436.0,888.0,1694.0,4039.0
320.0,185.0,436.0,887.0,1883.0,3885.0
323.0,185.0,436.0,888.0,1634.0,4096.0
324.0,185.0,436.0,888.0,1717.0,4019.0
325.0,186.0,436.0,887.0,2160.0,3702.0
327.0,185.0,436.0,887.0,1774.0,3970.0
328.0,185.0,436.0,887.0,1860.0,3902.0
330.0,185.0,436.0,887.0,1972.0,4079.0
332.0,186.0,436.0,886.0,2562.0,3688.0
333.0,185.0,436.0,886.0,2278.0,3865.0
334.0,184.0,436.0,887.0,1714.0,4307.0
335.0,184.0,436.0,887.0,1714.0,4307.0
338.0,185.0,436.0,886.0,2282.0,3862.0
339.0,186.0,436.0,886.0,2498.0,3728.0
342.0,186.0,436.0,886.0,3044.0,3346.0
343.0,184.0,436.0,887.0,1783.0,4240.0
344.0,184.0,436.0,887.0,1746.0,4275.0
345.0,184.0,436.0,887.0,1748.0,4273.0
346.0,185.0,436.0,887.0,1890.0,4146.0
347.0,185.0,436.0,886.0,2164.0,3940.0
348.0,185.0,436.0,887.0,2041.0,4026.0
349.0,185.0,436.0,887.0,1875.0,4158.0
350.0,185.0,436.0,886.0,2300.0,3851.0
351.0,184.0,436.0,888.0,1692.0,4329.0
352.0,185.0,436.0,887.0,1876.0,4157.0
353.0,185.0,436.0,887.0,1962.0,4087.0
354.0,185.0,436.0,887.0,2071.0,4004.0
355.0,186.0,436.0,886.0,2743.0,3572.0
