0,1,2,3,4,5,6,7
757.0,4.522651039343736e-05,9.059569775743057e-05,4.53147046531599e-05,2.2648493672935976e-05,1.1330705087700399e-05,5.662912685916455e-06,2.831038117490081e-06
761.0,4.554839091083004e-05,9.111184532739278e-05,4.557075993024545e-05,2.2770439398522857e-05,1.1395995005811232e-05,5.691457100553965e-06,2.84672039869982e-06
781.0,2.8405702328780646e-05,5.6775880082968536e-05,2.8398926107092715e-05,1.4181819505097726e-05,7.092908697506339e-06,3.547714354720788e-06,1.7735867199122901e-06
791.0,2.8424086525960426e-05,5.685816070327872e-05,2.8439646222171155e-05,1.4221812595680006e-05,7.110462420696628e-06,3.5553584360886736e-06,1.776250232649046e-06
811.0,3.761124230300828e-05,7.517501924153569e-05,3.760059151031864e-05,1.8802220749861154e-05,9.399852270434994e-06,4.7002654300701274e-06,2.3496231763425746e-06
821.0,3.763558388704055e-05,7.528397995499106e-05,3.765485143857744e-05,1.8820308816988596e-05,9.41650366644703e-06,4.702079774564216e-06,2.3526002335821916e-06
841.0,3.971079818465995e-05,7.937138079549405e-05,3.969924846074918e-05,1.9849454882849005e-05,9.916125047013113e-06,4.9615039162675956e-06,2.4817065301802055e-06
851.0,3.9736496502110544e-05,7.948641703874396e-05,3.975659453544361e-05,1.9869103596997784e-05,9.935766762551868e-06,4.969273902560856e-06,2.4840083601290752e-06
871.0,2.0675433915201893e-05,4.132520521813246e-05,2.067183167867026e-05,1.0333860044921955e-05,5.162978058421974e-06,2.5841405306148424e-06,1.291367820122069e-06
881.0,2.068881527136305e-05,4.138509337448838e-05,2.0701181380391315e-05,1.0339275225992872e-05,5.175198000202663e-06,2.587181717389475e-06,1.2930843258929237e-06
2741.0,5.318024623888855e-05,0.00010651982139040644,5.330679250431514e-05,2.6626744215260678e-05,1.3322699098261559e-05,6.657449454314235e-06,3.328338255073615e-06
2771.0,4.344024511888228e-05,8.70111796758416e-05,4.34730844444467e-05,2.1765857580208214e-05,1.0879928735912925e-05,5.43838319103096e-06,2.7197078917295947e-06
2921.0,4.8356182915105204e-05,9.685753863588817e-05,4.838813596802494e-05,2.4192772478670577e-05,1.2108293308915608e-05,6.0542030028559735e-06,3.027284607715064e-06
2981.0,4.270498534246145e-05,8.553848856380011e-05,4.273795499594446e-05,2.140287063983476e-05,1.0696993390860166e-05,5.346279646059604e-06,2.6733900786862774e-06
3041.0,5.482897700357422e-05,0.00010982210729146638,5.4958178597804e-05,2.7442354418649728e-05,1.3726270716094002e-05,6.863654511218842e-06,3.43255648976859e-06
3071.0,4.693925307447649e-05,9.401951026954958e-05,4.697146425227533e-05,2.349325978022454e-05,1.1745702090004695e-05,5.876402791440971e-06,2.9374783163393925e-06
3461.0,4.519072838766753e-05,9.051731024136561e-05,4.522325549520534e-05,2.263004309192851e-05,1.1311244550379906e-05,5.657164180092322e-06,2.829012069771597e-06
3601.0,3.4138761795631314e-05,6.821071249954458e-05,3.411758914808466e-05,1.7061923106090338e-05,8.523426135068068e-06,4.263350732121307e-06,2.1328164444625597e-06
3602.0,3.385227754072479e-05,6.76168176775363e-05,3.381655841483422e-05,1.6914978356728783e-05,8.45365940611853e-06,4.22767238714844e-06,2.1115295131823864e-06
3603.0,3.3647063878074635e-05,6.738423743155725e-05,3.369912820948978e-05,1.6862719002981585e-05,8.420955515890671e-06,4.207407665234031e-06,2.106588927103248e-06
