0,1,2,3,4,5
74.0,2.023357803500477e-05,4.054448002205682e-05,2.027699728868182e-05,4.77582964182946e-06,2.202012366422923e-05
75.0,2.0233909202419442e-05,4.054702130483305e-05,2.0278055048766203e-05,4.762891567651473e-06,2.1852224803803333e-05
76.0,2.0347394941729264e-05,4.0717506348059845e-05,2.034924629257598e-05,3.917470230839493e-06,1.2912828753770811e-05
77.0,2.0472842714904264e-05,4.0976778844651826e-05,2.050537867721164e-05,2.7315959480953e-06,5.5213315771768245e-06
78.0,2.0458819519995376e-05,4.087072462613528e-05,2.041384344874178e-05,3.2000178061541984e-06,7.873077988246324e-06
79.0,2.034520611781461e-05,4.070082211657389e-05,2.034223842303437e-05,3.998237545883854e-06,1.3610900996052777e-05
80.0,2.0577637084091133e-05,4.107782642789014e-05,2.054847148502681e-05,2.31001595564842e-06,3.901013861336289e-06
81.0,2.022408037794768e-05,4.047138637456628e-05,2.024678300403468e-05,5.151051965621156e-06,2.7372203558473363e-05
82.0,2.034536143493467e-05,4.0702007916176494e-05,2.034273262827707e-05,3.992494687857923e-06,1.356028257424452e-05
83.0,2.0357407364926874e-05,4.079394829571009e-05,2.0381405132559316e-05,3.5540304643526255e-06,1.0115335967550432e-05
84.0,2.0462483828574598e-05,4.0898407282557656e-05,2.0472049383202934e-05,3.0753239286807066e-06,7.183434049019832e-06
85.0,2.0607975984164324e-05,4.130566662780347e-05,2.0645963872027023e-05,1.4619958191332272e-06,1.72925980164787e-06
86.0,2.0328366153241637e-05,4.0572595252315324e-05,2.028866881261318e-05,4.6333671735870885e-06,2.0227402701522568e-05
87.0,2.047124826641089e-05,4.096476592316094e-05,2.05002628225065e-05,2.7833794736253914e-06,5.750689924297059e-06
88.0,2.048314965170375e-05,4.105490874305347e-05,2.0538696942851153e-05,2.4033843906839936e-06,4.224151959254796e-06
90.0,1.855597066399489e-05,3.7190782899893665e-05,1.8580778681198326e-05,3.3396487011914944e-06,9.800438020374225e-06
92.0,1.8773954577812986e-05,3.7578739218273316e-05,1.8788153608294972e-05,1.670293703931458e-06,2.2779672961201203e-06
93.0,1.8753647631636946e-05,3.742645390594421e-05,1.8723090922512578e-05,2.2767670084522518e-06,4.116347478971133e-06
