0,1,2,3,4,5,6,7
131.0,1.2729414442065796e-05,2.547909292370011e-05,1.2746070082522362e-05,6.367036021552239e-06,3.1862851371158157e-06,1.5938113204806703e-06,7.957464286979798e-07
151.0,1.2722930856615155e-05,2.5433671920293763e-05,1.2726455064775155e-05,6.358180476324568e-06,3.180037492339291e-06,1.5901684388471699e-06,7.950367922754387e-07
161.0,1.2728936288913307e-05,2.5478169373691073e-05,1.2745595865537238e-05,6.3668000646211614e-06,3.1861664846997984e-06,1.5937541172367925e-06,7.957212871251285e-07
181.0,1.0263928639671176e-05,2.0518116306387016e-05,1.0266859406499185e-05,5.130115159965656e-06,2.5644275105408953e-06,1.2824877350537528e-06,6.410543443077094e-07
191.0,1.0268780318988154e-05,2.0554022500718187e-05,1.0282289834772848e-05,5.136885833303614e-06,2.5682280730028595e-06,1.2837014720153833e-06,6.419398865097764e-07
211.0,2.3196757184745743e-05,4.637033734821057e-05,2.3202629151040238e-05,1.1588886528975106e-05,5.791164225475015e-06,2.8970967292339667e-06,1.44997070631106e-06
217.0,2.3062782486687767e-05,4.61340313097601e-05,2.3048387625911743e-05,1.1542482070796278e-05,5.76696622954509e-06,2.8827301854980614e-06,1.4413816378511246e-06
221.0,2.3207724908657105e-05,4.645145886651193e-05,2.3237570725552492e-05,1.160538551106538e-05,5.807077816940426e-06,2.902193863712349e-06,1.4502755153432412e-06
222.0,2.3053496770656604e-05,4.606495364212204e-05,2.3018724823301723e-05,1.1503965450590514e-05,5.7588108066976285e-06,2.8798981005252744e-06,1.4397419467251926e-06
241.0,1.9025372319005692e-05,3.803204841904169e-05,1.903035457394113e-05,9.505702005533495e-06,4.754009399168119e-06,2.374553287606135e-06,1.1879233466315087e-06
247.0,1.8915492758844786e-05,3.7838256997112935e-05,1.890388788752459e-05,9.468429994007738e-06,4.728742789564949e-06,2.3669789367269933e-06,1.1828533286115106e-06
251.0,1.9034386668806153e-05,3.8098585581253924e-05,1.905900372252932e-05,9.519047197089486e-06,4.766046076239844e-06,2.3801991864413896e-06,1.1912263909556742e-06
271.0,2.0485822651818836e-05,4.095140867166509e-05,2.049113018463486e-05,1.0235046422547162e-05,5.1171327909195485e-06,2.5617746892935e-06,1.279439385208636e-06
277.0,2.0367512086006496e-05,4.0742742047726946e-05,2.0354941828740203e-05,1.0194590301333684e-05,5.087866859015966e-06,2.545538614725368e-06,1.272615647720382e-06
281.0,2.049551406421127e-05,4.102306322118117e-05,2.0521979538359186e-05,1.0249504004137405e-05,5.130528663601502e-06,2.564066163602413e-06,1.28280350124646e-06
301.0,8.687995899558302e-06,1.736782784100572e-05,8.690536504905172e-06,4.343064663110338e-06,2.16964119760521e-06,1.0851033694792706e-06,5.426586984959986e-07
311.0,8.692116756352664e-06,1.73982094619227e-05,8.703588287307419e-06,4.348649814051031e-06,2.1766642427818728e-06,1.0868228885116404e-06,5.438997929627792e-07
331.0,2.6301817939603043e-05,5.257700722960043e-05,2.6308310052788192e-05,1.3139539199527595e-05,6.577653489037855e-06,3.288916657892549e-06,1.6433302210613898e-06
337.0,2.614990533701786e-05,5.230909237137135e-05,2.6133392390673138e-05,1.3086335976370683e-05,6.53218432451752e-06,3.2724092519434422e-06,1.6355344633345315e-06
341.0,2.6314249648343602e-05,5.266900361221641e-05,2.634793283411499e-05,1.3158369578405299e-05,6.581982230649541e-06,3.290289107581168e-06,1.6474198319404998e-06
342.0,2.61393882133329e-05,5.223073544695714e-05,2.609975136974932e-05,1.3071416573764982e-05,6.535464783730821e-06,3.2625695577034874e-06,1.6318882333152263e-06
361.0,2.251704357032324e-05,4.501163059885023e-05,2.2522772070956293e-05,1.1249436935138746e-05,5.6221642837223085e-06,2.814359715785225e-06,1.4072428980091423e-06
367.0,2.2386993470378336e-05,4.478229243479355e-05,2.237305833492284e-05,1.1204526448961583e-05,5.599454418948879e-06,2.797652447414367e-06,1.3989072797787605e-06
371.0,2.2527687287132638e-05,4.509037859684768e-05,2.255668406447517e-05,1.1265420972541434e-05,5.637445443823497e-06,2.818776036795506e-06,1.408620277625755e-06
372.0,2.2377986743032192e-05,4.471517744886189e-05,2.234427077803247e-05,1.1167194217155674e-05,5.59189262297477e-06,2.7963663458419052e-06,1.3975193374551886e-06
391.0,1.3743905741264413e-05,2.747460044839195e-05,1.3747684274256766e-05,6.868075500550408e-06,3.4333329544979085e-06,1.71859306972999e-06,8.589704802303144e-07
